CID3001,Ravi,Ettapparajan,Male,974774646,11/11/1999,ravi@gmail.com,6400
CID3002,Baskaran,Sethurajan,Male,847575775,11/11/1999,baskaran@gmail.com,3950
CID3003,ak,ragu,Male,90249932,04/04/2001,mjkdfe,0
CID3004,jdk,jds,Male,9838430,09/09/2001,njsdj,2120
CID3005,Arun,Ragu,Male,6383325297,04/04/2001,arun@gmail.com,0
CID3006,arun,rafu,Male,980980380,09/09/2001,jdsjdifo,0
CID3007,arun,akd,Male,984390,08/07/2001,joie,0
CID3008,ajith,ragu,Male,8807462753,04/07/2001,ajith@gmail.com,6000
CID3009,ajtih,rgu,Male,893893,04/07/1998,ahdoioe,4450
CID3010,arun,ragu,Male,8794928,03/03/2001,jijdfoe,800
CID3011,arun,amnd,Male,98900,04/04/2001,mnlkdkf,3000
CID3012,jhk,hj,Male,6777,08/08/2007,jhhj,940
